school,sex,age,reason,guardian,traveltime,studytime,activities,internet
GP,F,15,course,father,2,3,no,yes
GP,F,15,course,mother,3,1,yes,yes
GP,F,17,course,father,1,1,no,yes
GP,F,16,course,father,1,1,no,yes
GP,M,15,course,mother,4,2,no,no
GP,F,15,course,mother,1,3,yes,yes
GP,M,17,course,mother,3,2,no,no
GP,F,16,course,other,2,1,yes,yes
GP,M,16,course,mother,1,2,no,no
GP,F,15,course,mother,2,1,yes,yes
GP,M,15,course,father,2,4,no,yes
GP,M,16,reputation,father,2,1,yes,yes
GP,F,15,course,mother,1,3,yes,yes
GP,F,16,course,mother,1,1,no,yes
GP,M,17,home,mother,1,1,no,yes
GP,F,15,course,father,1,2,no,yes
GP,F,15,home,father,1,2,no,yes
GP,F,15,course,mother,1,2,no,yes
GP,M,16,course,mother,1,1,no,yes
GP,M,15,course,mother,4,1,no,yes
GP,M,18,course,mother,1,1,no,yes
GP,M,16,course,mother,1,1,yes,no
GP,F,15,reputation,other,2,3,yes,yes
GP,M,19,home,mother,1,1,no,yes
GP,F,17,course,mother,1,1,no,no
GP,M,15,course,mother,1,2,yes,no
GP,M,17,reputation,mother,1,1,no,no
GP,F,18,course,mother,3,1,yes,no
GP,M,16,course,mother,3,1,no,no
GP,M,16,course,father,1,2,no,yes
GP,M,17,course,mother,2,1,yes,yes
GP,M,15,course,mother,2,2,no,yes
GP,M,16,course,mother,2,1,yes,no
GP,M,17,course,father,1,1,no,yes
GP,M,17,course,mother,4,2,yes,no
GP,M,16,course,mother,2,1,yes,no
GP,M,16,course,father,1,2,no,yes
GP,F,16,home,father,1,2,no,yes
GP,F,16,home,mother,1,2,no,yes
GP,F,16,reputation,mother,1,2,no,yes
GP,M,16,course,father,3,1,yes,yes
GP,M,16,reputation,mother,2,2,yes,yes
GP,M,17,reputation,mother,1,2,yes,yes
GP,F,16,home,mother,1,2,yes,yes
GP,F,16,reputation,mother,2,2,yes,yes
GP,M,17,course,mother,2,2,yes,yes
GP,F,16,reputation,mother,2,2,yes,yes
GP,M,17,reputation,father,1,2,yes,yes
GP,M,16,other,mother,1,1,yes,yes
GP,M,17,course,mother,1,2,yes,yes
GP,M,16,home,mother,1,2,yes,yes
GP,M,16,home,mother,1,2,yes,yes
GP,F,17,reputation,father,1,2,yes,no
GP,F,17,reputation,mother,1,2,yes,yes
GP,F,16,reputation,mother,1,2,no,yes
GP,M,17,other,mother,1,2,yes,yes
GP,M,16,other,mother,1,1,yes,yes
GP,M,16,course,mother,1,2,yes,yes
GP,F,17,reputation,mother,1,2,no,yes
GP,M,17,home,mother,1,2,no,no
GP,F,16,course,mother,1,2,no,yes
GP,F,17,course,mother,1,2,yes,yes
GP,M,17,other,other,2,2,yes,yes
GP,M,16,reputation,mother,1,1,yes,yes
GP,M,16,home,father,2,1,no,yes
GP,F,17,course,father,1,2,yes,yes
GP,M,17,home,mother,1,1,no,yes
GP,M,16,home,father,3,1,yes,yes
GP,F,17,home,mother,2,1,no,yes
GP,F,16,reputation,mother,1,2,no,yes
GP,F,16,home,mother,1,2,yes,yes
GP,F,16,reputation,mother,1,2,yes,no
GP,F,17,course,mother,1,2,no,no
GP,F,17,reputation,mother,1,1,no,yes
GP,F,16,reputation,mother,2,4,yes,yes
GP,F,17,home,mother,1,3,no,yes
GP,F,16,course,mother,1,2,no,yes
GP,F,16,other,mother,1,2,yes,yes
GP,F,16,home,mother,2,1,no,no
GP,F,17,reputation,mother,2,3,yes,yes
GP,F,19,reputation,other,1,4,yes,yes
GP,M,17,home,mother,1,2,no,yes
GP,F,16,reputation,mother,1,2,no,yes
GP,M,18,home,mother,1,2,yes,yes
GP,F,17,other,mother,1,1,no,no
GP,F,17,reputation,mother,2,2,no,yes
GP,F,17,reputation,mother,1,2,no,yes
GP,M,18,home,father,1,2,no,yes
GP,F,17,home,father,2,1,no,no
GP,F,17,course,mother,1,3,yes,yes
GP,F,17,reputation,mother,2,2,yes,yes
GP,F,17,reputation,mother,1,3,yes,no
GP,F,16,other,mother,1,2,no,yes
GP,M,18,home,mother,2,2,no,yes
GP,F,16,home,mother,1,3,yes,yes
GP,F,18,reputation,mother,1,2,yes,yes
GP,F,17,course,mother,1,2,yes,yes
GP,M,17,reputation,father,1,2,no,yes
GP,M,18,course,mother,4,2,yes,yes
GP,F,17,course,mother,2,3,yes,yes
GP,F,17,reputation,father,1,2,yes,yes
GP,M,17,course,father,2,2,yes,yes
GP,M,17,reputation,mother,1,2,yes,yes
GP,M,16,reputation,father,1,2,yes,yes
GP,M,16,home,mother,2,2,no,yes
GP,M,16,reputation,mother,2,3,yes,yes
GP,M,17,home,father,1,2,yes,yes
GP,F,16,home,mother,1,1,no,yes
GP,F,17,course,mother,3,2,yes,no
GP,M,18,reputation,father,1,2,no,yes
GP,M,17,course,mother,2,2,yes,yes
GP,M,17,course,mother,2,2,no,yes
GP,M,16,course,mother,1,1,yes,yes
GP,M,16,course,mother,1,1,yes,yes
GP,F,18,course,other,2,3,no,yes
GP,M,16,course,mother,3,1,no,yes
GP,M,17,course,father,2,1,no,yes
GP,M,22,other,mother,1,1,no,yes
GP,M,18,course,mother,1,2,no,yes
GP,M,16,other,mother,1,1,no,yes
GP,M,18,course,mother,2,1,no,yes
GP,M,16,reputation,other,3,2,no,yes
GP,M,18,other,mother,1,1,no,yes
GP,M,16,course,mother,2,1,yes,no
GP,M,17,course,mother,1,1,no,yes
GP,M,17,course,mother,2,1,yes,yes
GP,F,17,reputation,mother,1,4,yes,yes
GP,M,19,reputation,mother,1,2,no,yes
GP,M,18,home,mother,1,2,yes,yes
GP,F,17,course,father,1,4,yes,yes
GP,F,18,home,father,1,2,no,yes
GP,M,18,course,mother,1,2,no,yes
GP,M,18,course,mother,1,3,yes,no
GP,F,17,home,mother,1,3,yes,no
GP,F,18,home,mother,1,3,yes,yes
GP,M,18,reputation,mother,2,2,yes,yes
GP,M,17,other,mother,1,2,yes,yes
GP,F,18,reputation,mother,2,2,yes,yes
GP,M,18,reputation,father,1,2,yes,yes
GP,F,18,reputation,mother,2,2,no,yes
GP,F,19,home,other,1,2,yes,yes
GP,F,18,reputation,father,1,4,yes,yes
GP,F,18,home,mother,2,2,no,no
GP,M,17,home,mother,1,2,yes,no
GP,F,17,reputation,mother,2,2,no,yes
GP,F,17,course,mother,2,2,no,yes
GP,F,18,home,mother,2,2,no,yes
GP,M,18,home,mother,2,1,yes,yes
GP,F,18,reputation,father,1,2,yes,yes
GP,M,18,course,mother,2,1,yes,yes
GP,M,17,home,mother,2,1,yes,yes
GP,M,17,home,mother,1,1,no,yes
GP,F,18,reputation,mother,2,4,yes,no
GP,F,18,home,mother,2,2,yes,yes
GP,F,17,course,mother,1,2,no,yes
GP,M,17,reputation,father,1,2,no,yes
GP,F,18,other,mother,1,3,no,yes
GP,F,17,reputation,mother,1,3,no,yes
GP,M,18,reputation,mother,1,3,yes,yes
GP,M,18,reputation,mother,1,2,yes,yes
GP,M,18,home,mother,1,2,yes,yes
GP,F,17,reputation,mother,1,3,no,yes
GP,F,18,reputation,mother,1,2,no,yes
GP,F,17,reputation,mother,2,4,no,no
GP,M,18,reputation,mother,2,3,yes,yes
GP,M,17,home,mother,1,1,no,yes
GP,F,19,reputation,other,2,2,yes,yes
GP,F,18,home,other,2,2,no,yes
GP,F,18,reputation,father,1,4,no,yes
GP,M,18,home,mother,1,1,no,yes
GP,F,18,home,mother,1,2,no,yes
GP,M,17,home,father,2,1,no,yes
GP,F,17,reputation,mother,2,3,no,yes
GP,F,17,reputation,father,1,4,yes,yes
GP,M,19,home,other,1,2,yes,yes
GP,F,18,reputation,other,1,2,yes,yes
GP,M,20,course,other,1,1,yes,no
GP,M,19,reputation,other,2,1,no,yes
GP,M,19,reputation,father,1,2,yes,no
GP,F,19,reputation,other,1,2,yes,yes
GP,F,19,home,other,1,2,yes,no
GP,F,19,other,other,3,2,no,yes
GP,M,19,course,other,1,2,no,yes
GP,F,19,reputation,other,2,2,no,yes
GP,F,19,home,other,1,3,no,yes
GP,F,19,reputation,other,1,3,no,yes
GP,F,18,course,mother,2,2,yes,yes
GP,F,18,course,mother,1,3,yes,yes
GP,F,17,course,father,1,3,yes,yes
GP,F,18,course,mother,1,2,no,yes
GP,F,17,course,mother,1,2,no,yes
GP,F,17,course,mother,1,2,no,no
GP,F,17,course,mother,1,3,yes,yes
GP,F,17,course,father,1,3,no,yes
GP,F,17,home,father,2,3,no,yes
GP,M,18,course,mother,1,3,yes,yes
GP,M,17,reputation,mother,1,1,yes,yes
GP,M,17,course,mother,4,1,no,yes
GP,F,17,course,mother,1,3,yes,yes
GP,F,17,course,mother,2,3,no,yes
GP,M,18,course,mother,1,4,yes,yes
GP,F,17,course,father,1,3,no,yes
GP,F,18,home,mother,1,2,yes,yes
GP,F,18,home,other,1,2,yes,yes
GP,F,18,course,mother,2,4,yes,no
GP,F,17,course,mother,1,3,no,yes
GP,F,19,home,other,1,3,no,no
GP,F,17,home,mother,1,2,no,yes
GP,F,18,home,mother,1,4,no,yes
GP,F,17,home,mother,1,2,no,yes
GP,F,19,home,other,1,3,yes,yes
GP,M,18,home,father,1,2,yes,yes
GP,M,18,home,mother,1,2,yes,yes
GP,F,17,home,father,1,2,no,yes
GP,F,18,course,mother,1,3,no,yes
GP,F,18,other,mother,1,3,no,yes
GP,M,18,course,mother,1,3,no,yes
GP,M,18,course,mother,1,3,no,yes
GP,F,17,reputation,mother,1,3,yes,yes
MS,M,18,course,mother,2,1,no,yes
MS,M,19,home,other,3,2,no,yes
MS,M,17,course,mother,2,2,no,yes
MS,M,18,course,mother,1,1,no,yes
MS,M,19,home,other,3,1,no,yes
MS,M,17,home,mother,2,2,yes,yes
MS,F,18,course,father,1,2,no,no
MS,F,17,other,father,2,2,yes,yes
MS,F,17,reputation,mother,2,2,no,no
MS,M,18,home,father,2,1,no,yes
MS,F,18,course,father,2,3,no,yes
MS,F,18,course,mother,3,2,no,no
MS,M,18,other,mother,2,2,yes,no
MS,F,18,other,mother,2,2,no,yes
MS,F,17,course,mother,1,2,yes,yes
MS,F,17,course,father,2,2,no,no
MS,M,18,course,mother,2,2,no,no
MS,M,18,other,mother,2,3,no,yes
MS,F,17,reputation,mother,3,1,no,yes
MS,F,18,course,father,2,1,no,yes
MS,F,18,other,father,3,2,no,yes
MS,F,19,home,other,2,2,yes,no
MS,M,18,other,father,3,1,yes,yes
MS,F,17,home,mother,1,3,yes,no
MS,F,17,course,mother,1,1,yes,yes
MS,F,18,reputation,mother,2,3,no,yes
MS,F,18,home,mother,4,3,no,yes
MS,F,20,course,other,2,3,no,yes
MS,F,18,course,mother,1,2,yes,yes
MS,F,18,home,mother,1,2,no,yes
MS,F,17,reputation,mother,1,2,yes,yes
MS,M,18,home,father,1,2,yes,yes
MS,M,18,other,mother,2,1,yes,yes
MS,M,17,home,father,2,2,yes,yes
MS,M,19,other,mother,2,1,no,no
MS,M,18,home,father,2,1,no,no
MS,F,18,other,mother,2,3,no,no
MS,F,18,reputation,mother,3,1,yes,yes
MS,F,19,course,mother,1,3,yes,yes
MS,F,18,course,mother,1,2,no,yes
MS,F,18,course,mother,2,2,yes,no
MS,M,20,course,other,1,2,no,no
MS,M,17,course,mother,2,1,no,yes
MS,M,21,course,other,1,1,no,no
MS,M,18,course,mother,3,1,no,yes
MS,M,19,course,father,1,1,no,yes
